date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2003-12-01,73.8644,7.6572,20.8059,14.614,12.0251,12.345,7.4942,17.6164,8.1824,5.4233,,
2004-01-02,75.3247,7.9841,21.3786,15.092,11.9564,12.345,7.6628,17.7941,7.8207,5.5348,,
2004-02-02,76.3469,7.7812,21.6064,15.5231,12.2161,13.0479,8.0654,17.6624,8.2284,5.6394,,
2004-03-01,75.3355,7.5745,20.7056,15.3429,12.1407,13.0155,8.0149,17.4464,8.0387,5.6996,,
2004-04-01,73.9101,7.2852,21.349,14.6749,12.003,13.1862,8.1515,17.4398,7.6664,5.4558,,
2004-05-03,75.1756,7.5708,21.2798,14.9254,12.0795,13.1122,8.1269,17.8692,7.8818,5.5215,,
2004-06-01,76.5663,7.7774,21.2003,14.9914,12.1107,13.1842,8.6337,18.9721,8.2774,5.6171,,
2004-07-01,74.0995,7.304,20.0626,14.6715,11.6512,12.5332,8.8997,18.4426,8.0888,5.7022,,
2004-08-02,74.28,6.9809,20.3887,15.1488,11.6283,12.7559,8.7626,18.4558,8.2248,5.9339,,
2004-09-01,75.0254,7.1838,20.0322,15.0093,11.9636,12.42,9.6181,18.8526,8.5552,5.9715,,
2004-10-01,75.9921,7.4994,19.5868,15.0885,12.4467,12.5002,9.6759,19.0452,8.4745,6.2624,,
2004-11-01,79.375,7.8826,19.9695,15.5579,12.9682,12.8099,10.3285,20.2409,9.1639,6.5413,,
2004-12-01,81.7658,8.0889,21.0707,16.2011,13.574,13.2888,10.0371,20.7435,9.2864,6.7024,,
2005-01-03,79.9326,7.6329,20.4147,15.8508,12.9932,13.4443,10.3771,20.1627,9.0022,6.8444,,
2005-02-01,81.6035,7.6444,21.0289,15.7447,12.924,13.427,12.1181,20.3963,9.7112,6.9912,,
2005-03-01,80.1108,7.4949,20.9115,15.1457,12.773,13.3094,11.8868,20.3874,9.4532,7.0685,,
2005-04-01,78.6099,7.2305,21.6398,15.1723,11.9602,13.1706,11.2435,19.6437,8.7793,7.2867,,
2005-05-02,81.1431,7.7325,21.913,15.6204,12.6998,13.477,11.5569,20.2668,8.7229,7.2819,,
2005-06-01,81.2657,7.6329,21.7971,15.8152,12.645,13.2167,12.3633,19.733,8.5482,7.7154,,
2005-07-01,84.3751,8.0659,22.2888,16.062,13.3625,13.6408,13.2395,20.4852,9.0206,7.889,,
2005-08-01,83.5841,7.9892,22.2116,15.799,12.9228,13.4026,14.085,20.0016,8.6427,7.9403,,
2005-09-01,84.2547,8.0084,22.0885,15.9343,12.5555,13.5921,14.9703,20.3368,8.7092,8.276,,
2005-10-03,82.262,7.8245,21.4121,16.42,12.3004,13.5279,13.6175,20.0468,8.7282,7.7465,,
